SOVEREIGNT,NAME TO DISPLAY,"LONG NAME  / FORMAL 
TO DISPLAY"
Cyprus,Republic of Cyprus,
Brazil,Federative Republic of Brazil
Canada
South Africa,Republic of South Africa
Sudan,Republic of Sudan
India,Republic of India
Ukraine
United States of America
Kingdom of Bahrain
Spain,Kingdom of Spain
Greece,Hellenic Republic (Greece)
Kenya,Republic of Kenya
Panama,Republic of Panama
Belarus,Republic of Belarus
Indonesia,Republic of Indonesia
Iran,Islamic Republic of Iran
Israel,State of Israel
Russia,Russian Federation
Egypt,Arab Republic of Egypt
Germany,Federal Republic of Germany
Japan
Lebanon,Lebanese Republic
Nigeria,Federal Republic of Nigeria
Turkey,Republic of Turkiye
Denmark,Kingdom of Denmark
Venezuela,Bolivarian Republic of Venezuela
Congo,Democratic Republic of the Congo
North Korea,Democratic People's Republic of North Korea
France,Republic of France
Saudi Arabia,Kingdom of Saudi Arabia
United Mexican States
Belgium,Kingdom of Belgium
China,People's Republic of China
Cuba,Republic of Cuba
South Korea,Republic of South Korea
Pakistan,Islamic Republic of Pakistan
Somalia,Federal Republic of Somalia
United Arab Emirates,
Palestine,
Vatican,State of the Vatican City
